"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Orianna","Middle",21,"22.3%","11.7%","34.0%","52%","29%",68,35,108,5,"74.6%","14.1%","19%",-11,101,2.9,8.8,"27.7%",507,"28.2%","25.6%",0.44,0.26
"Ornn","Middle",5,"5.3%","48.9%","77.7%","60%","60%",6,11,42,4.4,"56.5%","18.0%","40%",-212,-112,-4.4,6.3,"18.2%",340,"16.4%","17.6%",0.43,0.11
"Ornn","Top",22,"23.4%","48.9%","77.7%","59%","27%",29,37,131,4.3,"69.3%","17.9%","14%",8,119,-0.2,6.6,"20.3%",343,"20.0%","19.0%",0.48,0.17
"Pantheon","Jungle",11,"11.7%","20.2%","34.0%","55%","18%",38,32,63,3.2,"63.5%","28.1%","55%",-9,-91,-5.2,5,"15.2%",264,"13.0%","17.9%",0.33,0.3
"Pantheon","Middle",1,"1.1%","20.2%","34.0%","100%","100%",1,2,9,5,"66.7%","66.7%","100%",762,314,10,8,"20.4%",395,"19.9%","18.0%",0.54,0.2
"Pantheon","Top",1,"1.1%","20.2%","34.0%","0%","100%",3,5,0,0.6,"75.0%","29.4%","0%",-875,-1365,-33,4.3,"16.0%",287,"19.4%","18.9%",0.19,0.22
"Pyke","Support",1,"1.1%","0.0%","1.1%","100%","100%",6,2,7,6.5,"61.9%","40.0%","0%",116,118,-1,1.7,"7.5%",215,"10.5%","18.4%",1.37,0.84
"Qiyana","Jungle",1,"1.1%","25.5%","33.0%","100%","0%",4,4,1,1.3,"41.7%","57.1%","0%",-313,-887,-17,5.4,"17.7%",236,"13.4%","16.8%",0.87,0.5
"Qiyana","Middle",5,"5.3%","25.5%","33.0%","80%","60%",18,13,28,3.5,"63.0%","34.2%","0%",-467,-300,-12.8,7.5,"23.0%",380,"20.3%","22.0%",0.61,0.34
"Qiyana","Top",1,"1.1%","25.5%","33.0%","100%","100%",9,3,7,5.3,"80.0%","60.0%","100%",517,908,5,6.8,"22.2%",691,"37.9%","24.9%",0.46,0.11
"Quinn","Top",1,"1.1%","0.0%","1.1%","100%","100%",4,3,10,4.7,"53.8%","33.3%","0%",888,1015,29,8.5,"28.2%",771,"29.8%","24.5%",0.49,0.1
"Rakan","Support",23,"24.5%","5.3%","29.8%","65%","30%",18,31,190,6.7,"78.8%","14.0%","22%",-50,-54,-1.7,1.3,"3.6%",125,"7.7%","9.9%",1.54,0.53
"Rek'Sai","Jungle",17,"18.1%","11.7%","29.8%","41%","76%",34,52,89,2.4,"63.7%","28.3%","47%",162,145,0.8,5.2,"15.3%",215,"12.2%","16.7%",0.53,0.42
"Renekton","Middle",1,"1.1%","12.8%","26.6%","0%","100%",2,6,3,0.8,"83.3%","33.3%","100%",873,483,17,7.5,"23.7%",264,"26.7%","23.5%",0.41,0.15
"Renekton","Top",12,"12.8%","12.8%","26.6%","42%","50%",21,35,43,1.8,"55.2%","21.1%","17%",-212,-278,-0.4,8,"25.6%",358,"19.7%","23.7%",0.47,0.22
"Riven","Top",1,"1.1%","10.6%","11.7%","100%","100%",8,0,5,13,"61.9%","0.0%","0%",269,-628,-5,9.3,"28.9%",511,"23.7%","28.4%",0.29,0.39
"Rumble","Middle",10,"10.6%","53.2%","68.1%","50%","20%",35,27,70,3.9,"76.1%","21.6%","30%",106,-72,-4.2,6.9,"20.3%",610,"30.8%","21.3%",0.47,0.11
"Rumble","Support",1,"1.1%","53.2%","68.1%","100%","100%",6,4,11,4.3,"85.0%","57.1%","0%",948,759,48,5.8,"17.6%",510,"21.4%","20.2%",0.62,0.05
"Rumble","Top",3,"3.2%","53.2%","68.1%","67%","0%",10,2,13,11.5,"60.5%","13.3%","0%",218,141,10.7,7.2,"23.2%",546,"28.9%","21.4%",0.6,0.09
"Ryze","Middle",6,"6.4%","2.1%","8.5%","33%","33%",21,13,17,2.9,"67.9%","20.0%","17%",147,18,3,10.3,"33.7%",460,"28.3%","29.8%",0.47,0.13
"Sejuani","Jungle",22,"23.4%","17.0%","40.4%","41%","50%",28,49,123,3.1,"74.4%","21.8%","45%",-19,-62,-0.5,4.9,"14.7%",184,"11.4%","16.3%",0.36,0.36
"Senna","ADC",24,"25.5%","51.1%","77.7%","42%","38%",72,31,123,6.3,"81.6%","12.6%","33%",-65,4,-9.3,7.4,"24.7%",472,"28.4%","24.8%",0.55,0.37
"Senna","Support",1,"1.1%","51.1%","77.7%","0%","100%",0,1,2,2,"50.0%","8.3%","0%",234,539,-4,0.9,"3.2%",149,"12.4%","9.3%",1.17,0.45
"Sett","Jungle",1,"1.1%","51.1%","87.2%","100%","0%",3,1,6,9,"69.2%","16.7%","0%",-517,146,3,5.2,"13.5%",183,"14.0%","16.1%",0.39,0.48
"Sett","Support",1,"1.1%","51.1%","87.2%","100%","0%",0,2,6,3,"75.0%","100.0%","100%",123,340,4,1.5,"3.1%",103,"9.2%","10.9%",1.65,0.76
"Sett","Top",32,"34.0%","51.1%","87.2%","69%","13%",73,69,160,3.4,"58.0%","25.4%","34%",222,137,5.8,7.4,"23.3%",405,"21.8%","21.6%",0.47,0.2
"Shen","Support",2,"2.1%","0.0%","3.2%","50%","100%",5,8,15,2.5,"69.0%","29.6%","50%",-124,324,-23.5,1.3,"4.6%",141,"7.3%","10.4%",1.75,0.42
"Shen","Top",1,"1.1%","0.0%","3.2%","0%","100%",0,5,1,0.2,"12.5%","25.0%","0%",-357,-54,-20,6.4,"23.7%",258,"14.2%","16.7%",0.34,0.04
"Sivir","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sona","ADC",1,"1.1%","0.0%","1.1%","0%","100%",2,1,11,13,"100.0%","11.1%","100%",-214,-384,-10,7,"23.5%",450,"29.9%","23.1%",0.72,0.28
"Soraka","Top",3,"3.2%","22.3%","25.5%","67%","67%",2,5,28,6,"76.9%","15.6%","0%",-194,-48,-5.3,5.6,"15.6%",327,"17.0%","16.8%",0.49,0.18
"Sylas","Middle",1,"1.1%","2.1%","4.3%","100%","100%",3,4,5,2,"61.5%","66.7%","0%",710,767,12,7.1,"16.5%",569,"28.9%","20.0%",0.45,0.12
"Sylas","Top",1,"1.1%","2.1%","4.3%","0%","100%",1,4,5,1.5,"85.7%","33.3%","100%",-845,-502,-37,5.9,"18.9%",338,"24.0%","18.3%",0.47,0.2
