,summer_2021,spring_2021,summer_2020,spring_2020,summer_2019,spring_2019,summer_2018,spring_2018,summer_2017,spring_2017,summer_2016,spring_2016,summer_2015,spring_2015,summer_2014,spring_2014,summer_2013,spring_2013
Vayne,0.0,4.0,0.0,0.0,1.0,4.0,7.0,0.0,2.0,0.0,3.0,2.0,14.0,10.0,1.0,25.0,33.0,14.0
Veigar,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
Vel'Koz,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,8.0,72.0,0.0,13.0
Viego,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viktor,2.0,22.0,1.0,10.0,13.0,2.0,13.0,3.0,15.0,21.0,90.0,20.0,29.0,4.0,0.0,0.0,2.0,1.0
Vladimir,0.0,0.0,3.0,0.0,4.0,10.0,15.0,15.0,9.0,19.0,48.0,1.0,7.0,12.0,0.0,3.0,11.0,7.0
Volibear,5.0,3.0,53.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,17.0
Warwick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Wukong,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
Xayah,1.0,33.0,6.0,20.0,34.0,2.0,17.0,18.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xerath,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,16.0,12.0,2.0,6.0,6.0
Xin Zhao,12.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,10.0,31.0
Yasuo,0.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,8.0,5.0,42.0,16.0,0.0,0.0
Yone,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yorick,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
Yuumi,0.0,0.0,15.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac,0.0,0.0,0.0,0.0,3.0,0.0,4.0,33.0,19.0,4.0,2.0,0.0,5.0,7.0,0.0,5.0,75.0,1.0
Zed,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,9.0,3.0,44.0,7.0,22.0,52.0,13.0
Ziggs,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,3.0,0.0,7.0,4.0,28.0,45.0,1.0,1.0
Zilean,0.0,0.0,8.0,4.0,2.0,8.0,15.0,5.0,1.0,1.0,26.0,7.0,0.0,2.0,10.0,0.0,1.0,0.0
Zoe,5.0,15.0,27.0,18.0,33.0,24.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zyra,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,40.0,63.0,29.0,0.0,0.0,0.0,14.0,14.0,56.0,10.0
